nama_makanan,kalori,protein,lemak,karbo,harga,harga_rp;
indian squash cooked,38.0,0.7,0.4,7.6,,27000;
poi,269.0,0.9,0.3,65.4,,26000;
sesbania flower cooked,22.0,1.2,0.007,5.3,,40500;
acorn squash cooked,115.0,2.3,0.3,29.9,,10500;
cauliflower cooked,29.0,2.3,0.6,5.1,,14000;
crookneck squash cooked,34.0,1.9,0.7,6.8,,15000;
laver seaweed,1.0,0.2,0.012,0.1,,20000;
mountain yam cooked,119.0,2.5,0.1,29.0,,30000;
pumpkin flowers raw,5.0,0.3,0.084,1.1,,15000;
mustard greens raw,15.0,1.6,0.2,2.6,,19000;
arrowhead,12.0,0.6,0.084,2.4,,9000;
japanese cabbage,45.0,2.4,0.2,8.5,,32000;
mung bean sprouts cooked,24.0,2.5,0.1,4.5,,31500;
scallop squash cooked,29.0,1.9,0.3,5.9,,26500;
pumpkin leaves cooked,15.0,1.9,0.2,2.4,,40500;
hungarian pepper,8.0,0.2,0.1,1.8,,35500;
sweet potato baked,103.0,2.3,0.2,23.6,,32000;
chinese cabbage pe tsai raw,12.0,0.9,0.2,2.5,,9000;
taro raw,116.0,1.6,0.2,27.5,,18500;
yam bean jicama,49.0,0.9,0.1,11.5,,32500;
olives,10.0,0.09,0.9,0.5,,30500;
mustard greens cooked,36.0,3.6,0.7,6.3,,43500;
pumpkin flowers cooked,20.0,1.5,0.1,4.4,,6500;
tree fern cooked,57.0,0.4,0.096,15.3,,42500;
yellow corn raw,606.0,15.6,7.9,123.3,,30000;
endive,9.0,0.6,0.1,1.7,,36500;
wakame,36.0,2.4,0.5,7.3,,5500;
tahitian taro raw,55.0,3.5,1.2,8.6,,28000;
broccoli raw,31.0,2.6,0.3,6.0,,24500;
sweet green peppers raw,30.0,1.3,0.3,6.9,,30500;
chinese cabbage pak choi cooked,20.0,2.7,0.3,3.0,,32500;
agar,1.0,0.053,0.058,0.3,,40500;
watercress,4.0,0.8,0.006,0.4,,41000;
beet greens cooked,39.0,3.7,0.3,7.9,,44500;
winter squash cooked,76.0,1.8,0.7,18.1,,19500;
new zealand spinach raw,8.0,0.8,0.1,1.4,,37000;
okra,4.0,0.2,0.082,0.9,,19500;
yautia tannier,132.0,2.0,0.5,31.9,,23000;
mustard spinach cooked,29.0,3.1,0.4,5.0,,33500;
rhubarb cooked,278.0,0.9,0.1,74.9,,37000;
beets raw,58.0,2.2,0.2,13.0,,7000;
drumstick pods raw,37.0,2.1,0.2,8.5,,30500;
baby zucchini,2.0,0.3,0.089,0.3,,27000;
onion raw,16.0,0.4,0.048,3.7,,31500;
romanesco cooked,39.0,3.7,0.4,7.7,,16000;
butternut squash raw,90.0,2.0,0.2,23.4,,59000;
amaranth leaves,6.0,0.7,0.075,1.1,,40000;
turnip greens raw,18.0,0.8,0.2,3.9,,7000;
spaghetti squash raw,31.0,0.6,0.6,7.0,,31000;
seaweed dry,52.0,3.1,0.3,9.2,,44000;
yam cooked,158.0,2.0,0.2,37.4,,42000;
corn dried,119.0,4.1,3.0,18.8,,7000;
cucumber,23.0,1.0,0.2,5.4,,10500;
arrowroot,78.0,5.1,0.2,16.1,,33000;
cardoon raw,30.0,1.2,0.2,7.2,,14000;
bamboo shoots cooked,14.0,1.8,0.3,2.3,,35500;
summer squash raw,42.0,3.1,0.5,8.7,,17000;
sweet potato raw,112.0,2.0,0.002,26.2,,8500;
green tomato,42.0,2.2,0.4,9.3,,22000;
beet greens raw,8.0,0.8,0.078,1.6,,30000;
savoy cabbage cooked,41.0,3.1,0.2,9.2,,26500;
witloof chicory,9.0,0.5,0.031,2.1,,19000;
turnips cooked,34.0,1.1,0.1,7.9,,35000;
dried tomatoes,5.0,0.3,0.053,1.1,,26500;
radicchio,15.0,0.9,0.2,2.9,,27000;
mixed vegetables cooked,118.0,5.2,0.3,23.8,,30000;
yellow tomato,32.0,2.1,0.6,6.3,,23000;
cardoon cooked,26.0,0.9,0.1,6.4,,32500;
spinach raw,7.0,0.9,0.1,1.1,,21500;
kale raw,7.0,0.6,0.3,0.9,,10500;
drumstick pods cooked,42.0,2.5,0.2,9.7,,36000;
kohlrabi raw,72.0,4.5,0.3,16.4,,6500;
lentil sprouts,82.0,6.9,0.4,17.0,,40500;
carrots raw,25.0,0.6,0.1,5.8,,8500;
red chili peppers,18.0,0.8,0.2,4.0,,28000;
fennel,73.0,2.9,0.5,17.1,,19500;
sweet corn white,63.0,2.4,0.9,13.9,,9500;
celeriac raw,66.0,2.3,0.5,14.4,,7500;
hubbard squash raw,46.0,2.3,0.6,10.1,,7000;
brussels sprouts cooked,8.0,0.5,0.1,1.5,,21000;
carrots cooked,16.0,0.3,0.092,3.8,,18000;
lambs quarters raw,0.0,0.08,0.067,0.069,,6500;
lotus root cooked,6.0,0.1,0.056,1.4,,15000;
split peas raw,672.0,48.4,2.3,118.9,,20500;
scots kale cooked,36.0,2.5,0.5,7.3,,13500;
corn cooked,99.0,3.5,1.5,21.6,,36000;
radish raw,1.0,0.042,0.026,0.2,,12500;
stinging nettles,37.0,2.4,0.007,6.7,,42000;
baby carrots,5.0,0.031,0.053,1.2,,19500;
sweet yellow peppers,50.0,1.9,0.4,11.8,,35500;
taro leaves raw,12.0,1.4,0.2,1.9,,22000;
corn raw,123.0,4.7,1.9,26.7,,29000;
roselle,28.0,0.5,0.4,6.4,,16000;
drumstick leaves raw,13.0,2.0,0.3,1.7,,44500;
scallop squash raw,23.0,1.6,0.3,5.0,,45000;
chicory roots,65.0,1.3,0.2,15.8,,12500;
brussels sprouts raw,8.0,0.6,0.077,1.7,,15500;
kale cooked,42.0,3.5,1.4,6.3,,25500;
pupusas con frijoles,289.0,7.0,11.4,39.7,,12000;
mustard cabbage,36.0,1.4,0.1,7.2,,43000;
gourd raw,19.0,1.1,0.2,4.1,,6500;
butternut squash cooked,80.0,1.8,0.2,21.0,,65000;
burdock root cooked,146.0,3.5,0.2,35.1,,31000;
cassava,330.0,2.8,0.6,78.4,,18000;
peas carrots cooked,77.0,4.9,0.7,16.2,,10000;
romaine lettuce,8.0,0.6,0.1,1.5,,44000;
yam raw,177.0,2.3,0.3,41.8,,21000;
chowchow pickles,296.0,3.7,2.2,65.3,,11500;
prairie turnips raw,20.0,0.3,0.029,4.5,,25000;
savoy cabbage raw,19.0,1.4,0.017,4.3,,44500;
celery raw,6.0,0.3,0.045,1.2,,13000;
celeriac cooked,42.0,1.5,0.3,9.1,,42000;
mustard spinach raw,33.0,3.3,0.5,5.9,,7500;
zucchini raw,44.0,3.1,0.8,8.1,,28000;
okra cooked,35.0,3.0,0.3,7.2,,40000;
white icicle radish,14.0,1.1,0.1,2.6,,33000;
orange tomato,18.0,1.3,0.2,3.5,,29500;
pumpkin leaves raw,7.0,1.2,0.2,0.9,,9500;
spaghetti squash cooked,42.0,1.0,0.4,10.0,,38000;
white corn cooked,100.0,3.4,1.5,22.4,,27500;
artichoke cooked,64.0,3.5,0.4,14.3,,6000;
avocado,432.0,5.4,39.6,23.0,,32500;
string beans wellsley farms,8.0,0.3,0.0,1.7,,37000;
lambs quarters cooked,58.0,5.8,1.3,9.0,,12000;
peas cooked,134.0,8.6,0.4,25.0,,33500;
beets cooked,22.0,0.8,0.085,5.0,,28500;
shallots dried,3.0,0.1,0.013,0.7,,35000;
green lettuce,23.0,2.0,0.2,4.3,,15000;
kohlrabi cooked,48.0,3.0,0.2,11.0,,33500;
kanpyo dried,139.0,4.6,0.3,35.1,,16500;
prairie turnips boiled,18.0,0.2,0.086,4.2,,72000;
broccoli raab cooked,21.0,3.3,0.4,2.7,,40500;
summer squash cooked,49.0,2.7,1.0,9.9,,36500;
taro cooked,187.0,0.7,0.1,45.7,,35500;
spring onion scallions,6.0,0.4,0.077,1.5,,33500;
hubbard squash cooked,57.0,2.8,0.7,12.3,,44000;
jalapeno pepper,4.0,0.1,0.002,0.9,,22500;
new zealand spinach cooked,22.0,2.3,0.3,3.8,,26000;
sesbania flower raw,1.0,0.012,0.095,0.2,,21000;
spirulina dried,20.0,4.0,0.5,1.7,,10500;
chinese cabbage pe tsai cooked,17.0,1.8,0.2,2.9,,23500;
zucchini cooked,27.0,2.1,0.6,4.8,,34500;
green olives pickled,4.0,0.073,0.4,0.1,,21000;
lotus root raw,85.0,3.0,0.1,19.8,,35500;
grape leaves,13.0,0.8,0.3,2.4,,42500;
dill pickled cucumber,17.0,0.9,0.2,3.7,,45000;
skunk cabbage,11.0,1.5,0.1,1.8,,30000;
banana pepper,9.0,0.5,0.1,1.8,,27000;
oriental radish raw,61.0,2.0,0.3,13.9,,7000;
purslane cooked,21.0,1.7,0.2,4.1,,37500;
rhubarb raw,11.0,0.5,0.1,2.3,,26500;
swamp cabbage,20.0,2.0,0.2,3.6,,17000;
mung bean sprouts raw,6.0,0.6,0.044,1.2,,37000;
onion cooked,7.0,0.2,0.034,1.5,,19000;
swiss chard raw,7.0,0.6,0.042,1.3,,28500;
peas raw,117.0,7.9,0.6,21.0,,22000;
cabbage cooked,35.0,1.9,0.019,8.3,,27500;
taro leaves cooked,35.0,3.9,0.6,5.6,,23500;
leeks cooked,38.0,1.0,0.2,9.4,,44000;
split peas cooked,227.0,16.3,0.8,40.2,,23000;
sweet corn yellow,58.0,4.1,0.4,14.2,,41500;
asparagus raw,2.0,0.3,0.037,0.5,,5500;
collard cooked,63.0,5.1,1.4,10.7,,39000;
swiss chard cooked,35.0,3.3,0.1,7.2,,17500;
nopales cooked,22.0,2.0,0.003,4.9,,10500;
tahitian taro cooked,60.0,5.7,0.9,9.4,,21000;
chinese cabbage pak choi raw,9.0,1.1,0.1,1.5,,31500;
green chili pepper,18.0,0.9,0.097,4.3,,37000;
mountain yam raw,91.0,1.8,0.1,22.2,,41500;
parsnips cooked,114.0,2.1,0.5,27.2,,20500;
tomato stewed,97.0,2.4,3.3,16.1,,36000;
sweet green peppers cooked,19.0,0.7,0.1,4.5,,37000;
white corn raw,143.0,5.3,2.0,31.6,,34500;
rutabaga raw,286.0,8.3,1.2,66.5,,6000;
jalapeno peppers canned,37.0,1.3,1.3,6.4,,11000;
pumpkin canned,83.0,2.7,0.7,19.8,,24500;
peas onions canned,61.0,3.9,0.5,10.3,,19500;
sweet mashed potato canned,258.0,5.0,0.5,59.1,,31500;
hominy canned,119.0,2.4,1.5,23.5,,21000;
tomato puree canned,95.0,4.1,0.5,22.5,,25000;
dried tomatoes canned in oil,6.0,0.2,0.4,0.7,,82500;
mixed vegetables canned,88.0,3.5,0.6,17.5,,36000;
straw mushrooms canned,2.0,0.2,0.09,0.3,,41500;
capers canned,2.0,0.2,0.089,0.4,,40000;
red peppers canned,15.0,0.7,0.058,3.7,,27500;
carrots canned,104.0,2.6,0.6,24.4,,33000;
tomatoes in tomato juice canned,41.0,1.9,0.3,9.6,,41000;
asparagus canned,62.0,7.4,0.7,10.2,,26500;
sweet red peppers canned,25.0,1.1,0.4,5.5,,28000;
onions canned,12.0,0.5,0.084,2.5,,34500;
turnip greens canned,27.0,2.0,0.4,4.0,,23000;
hearts of palm,9.0,0.8,0.2,1.5,,25000;
spinach canned,44.0,4.9,0.9,6.8,,21500;
sweet potato canned,568.0,6.3,1.3,133.5,,20000;
corn canned,49.0,1.6,0.6,11.1,,13000;
peas carrots canned,97.0,5.5,0.7,21.6,,17500;
crookneck squash canned,27.0,1.3,0.1,6.2,,25500;
tomatoes canned,77.0,4.0,0.7,17.6,,13000;
pimento canned,44.0,2.1,0.6,9.8,,40000;
sweet green peppers canned,25.0,1.1,0.4,5.5,,17000;
peas canned,57.0,3.5,0.8,9.5,,17500;
chili peppers canned,29.0,1.0,0.4,6.4,,19000;
green peppers canned,15.0,0.7,0.074,3.7,,36500;
grape leaves canned,20.0,1.2,0.6,3.3,,23000;
sauerkraut canned,27.0,1.3,0.2,6.1,,43500;
beets canned,69.0,2.0,0.2,16.2,,39500;
stewed tomatoes canned,66.0,2.3,0.5,15.8,,44000;
tomato paste canned,215.0,11.3,1.2,49.5,,23500;
bacon ranch salad mcdonalds,389.0,28.1,20.1,19.4,,11500;
caesar salad with grilled chicken mcdonalds,201.0,29.1,5.6,11.3,,17500;
caesar salad mcdonalds,94.0,6.8,4.4,9.1,,24500;
vegetable salad,22.0,1.7,0.054,4.4,,20000;
vegetable salad with chicken,70.0,11.6,1.5,2.5,,28500;
potato salad,358.0,6.7,20.5,27.9,,17000;
taco salad taco bell,906.0,35.7,48.9,80.5,,25000;
iceberg lettuce,8.0,0.5,0.045,1.7,,6000;
cornsalad,12.0,1.1,0.2,2.0,,40000;
potato salad with egg,393.0,4.9,23.5,40.5,,13500;
side salad mcdonalds,17.0,0.9,0.2,3.7,,23000;
caesar salad with crispy chicken mcdonalds,349.0,25.7,16.4,19.2,,8000;
grape apple salad with walnuts,191.0,3.5,8.2,25.6,,8500;
vegetable salad with cheese egg,68.0,5.8,3.9,3.2,,75500;
celtuce,1.0,0.071,0.088,0.3,,13500;
arugula,5.0,0.5,0.1,0.7,,37000;
vegetable salad with shrimp,71.0,9.7,1.7,4.4,,27500;
coleslaw,292.0,1.8,18.9,28.4,,42500;
shiitake mushrooms cooked,10.0,0.3,0.007,2.6,,23500;
shiitake mushrooms raw,6.0,0.4,0.039,1.3,,36000;
crimini mushrooms,1.0,0.2,0.018,0.3,,36500;
mushrooms raw,15.0,2.2,0.2,2.3,,34000;
portabella mushrooms grilled,35.0,4.0,0.7,5.4,,27500;
maitake mushrooms,0.0,0.016,0.017,0.072,,17000;
shiitake mushrooms dried,11.0,0.3,0.061,2.7,,8500;
chanterelle mushrooms,2.0,0.033,0.063,0.4,,21500;
cloud ear fungus dried,80.0,2.6,0.2,20.4,,36500;
mushrooms cooked,44.0,3.4,0.7,8.3,,12500;
pepeao dried,72.0,1.2,0.1,19.4,,9500;
truffles,61.0,0.7,4.1,5.4,,31500;
jews ear,25.0,0.5,0.095,6.7,,37000;
enoki mushrooms,1.0,0.062,0.099,0.2,,10000;
morel mushrooms,4.0,0.4,0.07,0.7,,43000;
portabella mushrooms raw,19.0,1.8,0.3,3.3,,8500;
oyster mushroom,5.0,0.5,0.035,0.9,,15000;
chocolate pudding fat free,105.0,2.2,0.3,23.6,,15000;
tapioca pudding,143.0,2.1,4.3,23.9,,42000;
tapioca pudding fat free,105.0,1.6,0.4,23.9,,25000;
rice pudding,122.0,3.6,2.4,20.8,,10500;
corn pudding,328.0,11.1,12.6,42.4,,21500;
chocolate pudding,213.0,3.1,6.9,34.5,,13000;
lemon pudding,173.0,4.1,4.4,30.2,,41500;
vanilla pudding,195.0,2.2,5.7,33.9,,32500;
profeel proteiinirahka valio,140.0,175.0,0.4,19.3,,44500;
cottage cheese creamed,20.0,2.2,0.9,0.7,,74000;
zaziki milfina,51.0,0.0,4.4,0.0,,39000;
cottage cheese low fat,163.0,28.0,2.3,6.1,,74500;
cottage cheese nonfat,104.0,15.0,0.4,9.7,,68500;
vanilla yogurt low fat,208.0,12.1,3.1,33.8,,43500;
classique yogurt plain 2 liberte,30.0,3.3,1.2,1.7,,33000;
yoplait light strawberry yogurt yoplait,79.0,0.0,0.0,0.074,,25000;
vanilla yogurt,145.0,8.4,2.1,23.5,,42500;
chocolate yogurt,168.0,5.3,0.0,35.3,,9000;
yogurt parfait,125.0,5.0,1.5,23.6,,45000;
yogurt,92.0,5.2,4.9,7.0,,11500;
chocolate frozen yogurt,221.0,5.2,6.3,37.6,,18500;
frozen yogurt,221.0,5.2,6.3,37.6,,19000;
yogurt low fat,154.0,12.9,3.8,17.2,,22500;
vanilla yoghurt oikos,120.0,0.0,1.8,0.0,,10500;
fruit yogurt,149.0,6.0,1.7,28.0,,15500;
danone low fat alsafi,88.0,0.0,1.7,0.089,,20500;
fruit n yogurt parfait mcdonalds,156.0,4.1,1.9,30.9,,16500;
triple zero greek yogurt dannon oikos,120.0,0.038,0.0,22.5,,41000;
greek yogurt,100.0,17.3,0.7,6.1,,10000;
chocolate rasberry protein mini proteinfx,102.0,0.0,2.9,0.0,,15500;
gushers fruit gushers,360.0,0.0,6.0,0.2,,5000;
egg fried,90.0,6.3,6.8,0.4,,32000;
glucerna abbott,1010.0,0.0,35.6,120.9,,34500;
sports drink,26.0,0.0,0.0,7.2,,44000;
peanut butter cookie protein syntha 6,200.0,0.0,6.0,5.0,,70000;
hanfprotein pulver rohkostqualitat veganz,107.0,0.0,3.1,14.2,,7000;
smoothie high protein creamy chocolate slimfast,110.0,12.0,3.5,2.1,,20000;
egg large,138.0,0.0,9.3,0.0,,24000;
boysenberries frozen,66.0,1.5,0.3,16.1,,23500;
malt beverage,88.0,0.5,0.3,19.1,,35000;
chocolate powder for milk,88.0,1.0,0.5,19.9,,9500;
vegetable fruit juice,9.0,0.071,0.017,2.2,,20500;
cocoa powder unsweetened,12.0,1.1,0.7,3.1,,22500;
coconut milk,35.0,0.3,3.6,0.8,,43500;
cocoa powder,28.0,0.5,0.3,5.9,,18000;
rice drink,113.0,0.7,2.3,22.0,,33000;
coconut water,46.0,1.7,0.5,8.9,,12500;
caramel med iced coffee dunkin donuts,268.0,0.0,9.0,0.0,,40500;
instant coffee with water decaffeinated,4.0,0.2,0.0,0.8,,19500;
instant coffee powder,353.0,12.2,0.5,75.4,,15000;
instant coffee powder decaffeinated,6.0,0.2,0.069,1.4,,22500;
instant cappuccino powder,53.0,0.4,0.7,11.2,,14500;
coffee decaffeinated,0.0,0.2,0.0,0.0,,9500;
espresso decaffeinated,3.0,0.065,0.011,0.5,,9000;
instant coffee with water,4.0,0.2,0.0,0.6,,16000;
coffee,2.0,0.3,0.069,0.0,,25000;
espresso,3.0,0.021,0.086,0.5,,44000;
whey protein powder vanilla eas,108.0,0.0,1.7,0.0,,42500;
energy drink sugar free red bull,13.0,0.6,0.2,1.8,,24000;
powerade coca cola,9.0,0.0,0.009,2.3,,34000;
amp energy pepsi,110.0,0.6,0.2,29.0,,13000;
gatorade g2 pepsi,2.0,0.069,0.052,0.6,,35500;
amp energy sugar free pepsi,5.0,0.0,0.0,2.5,,25000;
energy drink red bull,111.0,1.2,0.0,26.4,,31500;
powerade zero ion4 coca cola,0.0,0.0,0.0,0.0,,23000;
full throttle coca cola,110.0,0.6,0.2,29.0,,38000;
passion fruit juice purple,148.0,1.7,0.4,35.7,,40500;
pomegranate juice,134.0,0.4,0.7,32.7,,37500;
cranberry apricot juice,157.0,0.5,0.0,39.7,,33500;
pineapple juice,133.0,0.9,0.3,32.2,,10500;
passion fruit juice yellow,126.0,1.0,0.1,33.6,,44000;
orange apricot juice,128.0,0.8,0.3,31.8,,7500;
tangerine juice,106.0,1.2,0.5,24.9,,33500;
orange juice,90.0,1.4,0.4,20.8,,26000;
grapefruit juice,96.0,1.2,0.2,22.7,,44500;
pineapple grapefruit juice,118.0,0.5,0.3,29.0,,21500;
tamarind nectar,143.0,0.2,0.3,37.0,,6500;
apple juice,114.0,0.2,0.3,28.0,,11000;
limeade,128.0,0.0,0.0,34.1,,20000;
guava nectar,158.0,0.2,0.2,40.8,,42500;
orange grapefruit juice,106.0,1.5,0.2,25.4,,43500;
orange juice sainsburys,14.0,0.0,0.088,0.0,,6500;
cranberry apple juice,154.0,0.0,0.3,38.8,,22500;
pineapple orange juice,125.0,3.3,0.0,29.5,,43000;
pear nectar,150.0,0.3,0.062,39.4,,7500;
blackberry juice,95.0,0.8,1.5,19.5,,16500;
lemon juice,54.0,0.9,0.6,16.6,,36000;
cranberry grape juice,137.0,0.5,0.2,34.3,,39000;
citrus fruit juice,114.0,0.8,0.057,28.3,,34000;
prune juice,182.0,1.6,0.006,44.7,,23000;
guanabana nectar,148.0,0.3,0.4,37.5,,17000;
fruit juice,108.0,0.3,0.1,26.3,,43500;
horchata,15.0,0.1,0.2,3.3,,33500;
fruit punch,98.0,0.2,0.4,24.4,,37000;
apricot nectar,139.0,0.9,0.2,35.7,,11000;
orangensaft ja,86.0,0.0,0.0,1.4,,36000;
fruchtcocktail granini,102.0,0.0,0.4,1.0,,28000;
peach nectar,125.0,0.5,1.3,29.7,,32000;
orange pineapple juice,15.0,0.1,0.08,3.6,,27000;
cranberry juice,92.0,0.8,0.3,24.4,,26000;
white grapefruit juice,96.0,1.2,0.2,22.7,,12000;
mango nectar,128.0,0.3,0.2,32.9,,15500;
acerola cherry juice,56.0,1.0,0.7,11.6,,26500;
apple juice concentrate,350.0,1.1,0.8,86.5,,32000;
papaya nectar,143.0,0.4,0.4,36.3,,37500;
apple juice martinellis,122.0,0.0,0.0,0.0,,24000;
lime juice,61.0,1.0,0.2,20.4,,31000;
grape juice,152.0,0.9,0.3,37.4,,41000;
water dannon,0.0,0.0,0.0,0.0,,7500;
tap water,0.0,0.0,0.0,0.0,,35000;
table water,0.0,0.0,0.0,0.0,,11000;
fruit flavored water,52.0,0.0,0.0,13.0,,25500;
water,0.0,0.0,0.0,0.0,,21500;
cola light coca cola,0.0,0.0,0.0,0.0,,26000;
lemon lime soda,151.0,0.3,0.0,38.4,,12500;
tonic water,114.0,0.0,0.0,29.6,,31500;
lemonade low calorie,7.0,0.092,0.0,1.6,,38500;
ginger ale,68.0,0.0,0.0,17.5,,5000;
ice tea lemon flavor nestle,88.0,0.0,0.0,22.3,,40500;
sprite coca cola,80.0,0.1,0.063,20.3,,35500;
cola coca cola,151.0,0.0,0.0,38.9,,32000;
cola,74.0,0.1,0.07,19.1,,8500;
cream soda,252.0,0.0,0.0,65.7,,17500;
club soda,0.0,0.0,0.0,0.0,,39000;
pink lemonade,86.0,0.1,0.3,21.6,,28500;
grape soda,160.0,0.0,0.0,41.7,,37500;
cola without caffeine coca cola,151.0,0.0,0.0,38.9,,34000;
white lemonade,80.0,0.1,0.003,20.8,,8500;
chocolate soda,207.0,0.0,0.0,52.6,,18500;
sweet tea lipton,130.0,0.0,0.0,35.0,,22500;
hibiscus tea,74.0,0.9,1.3,14.8,,41000;
instant lemon tea,2.0,0.1,0.0,0.3,,13500;
pesca tea santal,116.0,0.0,0.0,0.0,,24000;
instant lemon tea sweetened,91.0,0.071,0.2,22.3,,33500;
tea with milk and sugar yorkshire,15.0,0.0,0.5,0.4,,37000;
tea blueberry muffin tekanne,4.0,0.0,0.2,0.4,,13000;
chamomile tea,2.0,0.0,0.0,0.4,,7000;
black tea,2.0,0.0,0.0,0.7,,45000;
herb tea,2.0,0.0,0.0,0.4,,20500;
clam tomato juice,80.0,1.0,0.3,18.2,,15500;
tomato juice,41.0,2.1,0.7,8.6,,25500;
vegetable juice,53.0,1.5,0.2,11.1,,41000;
tomato vegetable juice,53.0,1.5,0.2,11.1,,6000;
carrot juice,80.0,1.9,0.3,18.6,,41000;
acorn dried,144.0,2.3,8.9,15.2,,31500;
fenugreek seeds,36.0,2.6,0.7,6.5,,11000;
peanut topping mcdonalds,181.0,7.9,15.0,4.6,,19500;
beechnuts dried,173.0,1.9,15.0,10.1,,12500;
breadnut tree seeds raw,61.0,1.7,0.3,13.1,,35000;
cumin seeds,8.0,0.4,0.5,0.9,,12500;
pili nuts dried,863.0,13.0,95.5,4.8,,15000;
hazelnuts roasted,194.0,4.5,18.7,5.3,,72000;
lupins cooked,193.0,25.8,4.8,15.4,,38500;
hazelnuts blanched,178.0,3.9,17.3,4.8,,65000;
brazilnuts dried,33.0,0.7,3.3,0.6,,36500;
sunflower seeds dry roasted,47.0,1.5,4.0,1.9,,36000;
ginkgo nuts canned,172.0,3.5,2.5,34.3,,21000;
peanuts cooked,572.0,24.3,39.6,38.3,,35000;
pumpkin squash seeds dried,721.0,39.0,63.3,13.8,,41000;
cashew nuts raw,156.0,5.2,12.4,8.5,,14500;
sunflower seeds dried,269.0,9.6,23.7,9.2,,30000;
lotus seeds dried,106.0,4.9,0.6,20.6,,17500;
butternuts dried,734.0,29.9,68.4,14.5,,92500;
sesame seeds dried,52.0,1.6,4.5,2.1,,14000;
breadfruit seeds,57.0,2.2,1.7,8.8,,9500;
pinyon pine nuts dried,1.0,0.083,0.073,0.01,,23000;
pine nuts dried,909.0,18.5,92.3,17.7,,32000;
flaxseeds,55.0,1.9,4.3,3.0,,27500;
safflower seed kernels dried,146.0,4.6,10.9,9.7,,38500;
pistachio nuts raw,691.0,24.9,55.8,33.8,,22500;
peanuts raw,828.0,37.7,71.9,23.5,,5000;
poppy seeds,46.0,1.6,3.7,2.5,,23500;
valencia peanuts raw,832.0,36.6,69.5,30.5,,24500;
spanish peanuts,832.0,38.2,72.4,23.1,,43500;
dill seeds,20.0,1.1,1.0,3.6,,43000;
caraway seeds,22.0,1.3,1.0,3.3,,37000;
acorn raw,110.0,1.7,6.8,11.5,,14500;
almonds roasted,182.0,6.4,16.6,5.3,,34500;
lotus seeds raw,25.0,1.2,0.1,4.9,,40500;
chestnuts cooked,37.0,0.6,0.4,7.9,,36500;
alfalfa seeds,1.0,0.1,0.075,0.002,,27500;
virginia peanuts roasted,173.0,7.8,14.6,6.0,,27000;
hazelnuts raw,471.0,11.2,45.6,12.5,,81000;
anise seeds,7.0,0.4,0.3,1.1,,35000;
macadamia nuts roasted,215.0,2.3,22.8,4.0,,26000;
studentenfutter alnatura,139.0,3.1,7.8,13.2,,17500;
pumpkin squash seeds roasted,46.0,2.4,3.9,1.2,,20500;
water chestnut raw,120.0,1.7,0.1,29.7,,42500;
chestnuts roasted,37.0,0.5,0.3,7.9,,30000;
ginkgo nuts raw,52.0,1.2,0.5,10.6,,20500;
almonds raw,9.0,0.3,0.7,0.3,,32000;
peanuts roasted,180.0,8.4,15.8,4.6,,8000;
sunflower seeds toasted,829.0,23.1,76.1,27.6,,26000;
sisymbrium seeds,235.0,9.0,3.4,43.1,,36000;
breadnut tree seeds dried,587.0,13.8,2.7,127.0,,30000;
pecans raw,753.0,10.0,78.4,15.1,,30500;
chia seeds dried,138.0,4.7,8.7,11.9,,15000;
japanese chestnuts roasted,57.0,0.8,0.2,12.8,,37500;
sesame seeds toasted,45.0,1.4,3.8,2.1,,7500;
cashew nuts roasted,174.0,5.1,14.3,9.0,,13500;
lupins raw,668.0,65.1,17.5,72.7,,38000;
mustard seeds ground,10.0,0.5,0.7,0.6,,43500;
mixed nuts roasted,178.0,5.2,15.4,7.6,,27000;
salat mix alestro,61.0,0.0,5.2,2.4,,11500;
chestnuts raw,309.0,3.5,3.3,66.0,,34000;
pistachio nuts roasted,172.0,6.3,13.7,8.5,,11500;
walnut,33.0,0.8,3.3,0.7,,39500;
celery seeds,25.0,1.2,1.6,2.7,,35000;
hickorynuts dried,788.0,15.3,77.2,21.9,,6000;
spanish peanuts roasted,851.0,41.2,72.1,25.7,,14500;
woca seeds dried,102.0,2.2,0.3,22.6,,32000;
pecans roasted,215.0,2.8,22.6,3.9,,15000;
fennel seeds,7.0,0.3,0.3,1.0,,10000;
chinese chestnuts roasted,68.0,1.3,0.3,14.8,,36000;
watermelon seed kernels dried,602.0,30.6,51.2,16.5,,22500;
macadamia nuts raw,38.0,0.4,4.0,0.7,,27000;
pectin,163.0,0.2,0.2,45.2,,31000;
black walnut dried,31.0,1.2,3.0,0.5,,10500;
water chestnut canned,70.0,1.2,0.015,17.2,,26500;
ginkgo nuts dried,98.0,2.9,0.6,20.5,,40000;
virginia peanuts raw,822.0,36.8,71.2,24.1,,30000;
valencia peanuts roasted,177.0,8.1,15.4,4.9,,26000;
nesfit diet cereal nestle,75.0,0.0,0.0,0.0,,37000;
corn grits cooked,182.0,4.4,1.2,37.9,,40500;
amaranth flakes,134.0,5.9,2.7,27.0,,7500;
granola,293.0,8.2,14.6,32.3,,9500;
muesli with fruit nuts,231.0,4.3,3.4,45.7,,20500;
muesli master crumble,124.0,2.4,2.4,4.5,,24000;
bran flakes,131.0,4.0,0.8,32.2,,20000;
nut cereal,245.0,4.0,5.9,46.2,,11000;
corn flakes,108.0,1.7,0.3,24.6,,33500;
